DAUID,TOPIC_THEME,TEXT_ID,TEXT_NAME_NOM,T_DATA_DONNEE,M_DATA_DONNEE,F_DATA_DONNEE
35060001,Language,7002,  French only,2.1,4.3,2.1
35060001,Language,8006,Official language minority (percentage),44.2,42.6,45.8
35060002,Language,7002,  French only,2.4,1.6,1.6
35060002,Language,8006,Official language minority (percentage),43.5,41.3,45.2
35060003,Language,7002,  French only,2.4,1.2,3.5
35060003,Language,8006,Official language minority (percentage),44.6,42.7,46.5
35060005,Language,7002,  French only,2.8,2.3,2.2
35060005,Language,8006,Official language minority (percentage),45.8,44.8,44.4
35060006,Language,7002,  French only,2.9,1.6,4.3
35060006,Language,8006,Official language minority (percentage),45,44.3,45.7
35060007,Language,7002,  French only,2.9,3.4,2.4
35060007,Language,8006,Official language minority (percentage),42.8,41.4,44.7
35060010,Language,7002,  French only,1.6,3.2,0
35060010,Language,8006,Official language minority (percentage),37.1,35.5,38.7
35060011,Language,7002,  French only,0.8,1.6,0
35060011,Language,8006,Official language minority (percentage),36.4,35.5,38.6
35060012,Language,7002,  French only,2.6,1.7,3.4
35060012,Language,8006,Official language minority (percentage),34.2,34.5,32.8
35060014,Language,7002,  French only,2.3,1.8,1.3
35060014,Language,8006,Official language minority (percentage),36.6,32.1,40
35060015,Language,7002,  French only,2.9,3.8,3.9
35060015,Language,8006,Official language minority (percentage),34,36.5,33.3
35060016,Language,7002,  French only,2.5,2.4,2.6
35060016,Language,8006,Official language minority (percentage),36.3,36.6,38.5
35060017,Language,7002,  French only,2,0,2
35060017,Language,8006,Official language minority (percentage),33,28.3,35.3
35060018,Language,7002,  French only,2.4,0,2.2
35060018,Language,8006,Official language minority (percentage),37.6,40,37.8
35060019,Language,7002,  French only,1.8,1.8,1.9
35060019,Language,8006,Official language minority (percentage),29.7,30.4,31.5
35060020,Language,7002,  French only,2.2,2.2,2.1
35060020,Language,8006,Official language minority (percentage),31.2,27.7,31.9
35060021,Language,7002,  French only,2.5,1.8,1.5
35060021,Language,8006,Official language minority (percentage),29.3,31.6,27.3
35060022,Language,7002,  French only,1.7,1.8,1.7
35060022,Language,8006,Official language minority (percentage),27,27.3,28.3
35060023,Language,7002,  French only,2.2,2.1,2.1
35060023,Language,8006,Official language minority (percentage),35.5,36.2,31.9
35060024,Language,7002,  French only,0,0,0
35060024,Language,8006,Official language minority (percentage),27.3,28.6,25.9
35060025,Language,7002,  French only,1.8,2.4,2.4
35060025,Language,8006,Official language minority (percentage),33.5,32.5,35.3
35060026,Language,7002,  French only,3.4,0,3.6
35060026,Language,8006,Official language minority (percentage),27.6,26.7,28.6
35060027,Language,7002,  French only,1.9,1.3,2.5
35060027,Language,8006,Official language minority (percentage),24.5,23.4,25.3
35060028,Language,7002,  French only,1.5,3,0
35060028,Language,8006,Official language minority (percentage),28.4,29.4,27.3
35060029,Language,7002,  French only,2.3,1.8,2.8
35060029,Language,8006,Official language minority (percentage),30.3,29.7,31.3
35060030,Language,7002,  French only,1.6,3.2,3.2
35060030,Language,8006,Official language minority (percentage),27,25.8,29
35060031,Language,7002,  French only,1.6,1.6,1.6
35060031,Language,8006,Official language minority (percentage),33.1,31.7,32.3
35060032,Language,7002,  French only,3.3,2.7,2.5
35060032,Language,8006,Official language minority (percentage),29.2,27,28.8
35060033,Language,7002,  French only,3.6,2.6,4.5
35060033,Language,8006,Official language minority (percentage),25.6,23.1,29.5
35060034,Language,7002,  French only,2.5,2.6,4.8
35060034,Language,8006,Official language minority (percentage),27.5,28.9,29.3
35060035,Language,7002,  French only,3.4,4.4,2.3
35060035,Language,8006,Official language minority (percentage),34.5,35.6,33.3
35060036,Language,7002,  French only,1.8,1.8,1.9
35060036,Language,8006,Official language minority (percentage),32.4,32.1,32.7
