ONS_ID,Name,Name_FR,num_en,num_fr,pop2016_en,pop2016_fr,pop2016_fr_only,percap_en,percap_fr,percap_fr_only,pop_per_doc_en,pop_per_doc_fr,pop_per_doc_fr_only
0,Ottawa,Ottawa,869,356,916855,358170,12405,9.478052690992578e-4,9.939414244632438e-4,0.028698105602579606,1055,1006,35
3,Beacon Hill South - Cardinal Heights,Beacon Hill Sud - Cardinal Heights,5,2,7260,3725,280,6.887052341597796e-4,5.369127516778523e-4,0.007142857142857143,1452,1863,140
5,Beechwood Cemetery,Cimetière Beechwood,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Bells Corners East,Bells Corners Est,6,2,4580,1275,20,0.0013100436681222707,0.001568627450980392,0.1,763,638,10
7,Bells Corners West,Bells Corners Ouest,0,0,4140,1016,20,0,0,0,NA,NA,NA
11,Braemar Park - Bel Air Heights - Copeland Park,Parc Braemar - Hauteurs Bel Air - Parc Copeland,2,1,6770,2230,10,2.954209748892171e-4,4.484304932735426e-4,0.1,3385,2230,10
12,Briar Green - Leslie Park,Briar Green - Parc Leslie,3,0,5180,1545,25,5.791505791505791e-4,0,0,1727,NA,NA
13,Bridlewood - Emerald Meadows, ,6,2,24240,7555,100,2.4752475247524753e-4,2.6472534745201854e-4,0.02,4040,3778,50
16,Carleton Heights - Rideauview,Hauteurs Carleton - Rideauview,14,5,6385,1965,70,0.002192638997650744,0.002544529262086514,0.07142857142857142,456,393,14
17,Carleton University,Université Carleton,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Carlington, ,7,4,9820,3085,205,7.128309572301426e-4,0.0012965964343598054,0.01951219512195122,1403,771,51
23,Centrepointe, ,10,2,6970,2195,20,0.0014347202295552368,9.111617312072893e-4,0.1,697,1098,10
24,Centretown,Centre-Ville,34,8,27985,12105,180,0.0012149365731641952,6.60883932259397e-4,0.044444444444444446,823,1513,22
28,Civic Hospital-Central Park,Hôpital Civique - Parc Central,31,13,10920,4025,35,0.0028388278388278387,0.003229813664596273,0.37142857142857144,352,310,3
29,Constance Bay,Baie Constance,0,0,2225,545,NA,0,0,NA,NA,NA,NA
30,Corkery, ,0,0,3680,990,10,0,0,0,NA,NA,NA
31,Cityview - Crestview - Meadowlands, ,13,4,8645,2345,15,0.0015037593984962407,0.0017057569296375266,0.26666666666666666,665,586,4
32,Crystal Bay - Lakeview Park,Baie Crystal - Parc Lakeview,0,0,3835,1242,10,0,0,0,NA,NA,NA
